all_user_answers,processed_answers,combined_answers,suggested_locations
"['Mùa thu (tháng 9 - 11)', 'Núi/Rừng', 'Du lịch khám phá thiên nhiên']","['ma thu thng 9  11', 'nirng', 'du lch khm ph thin nhin']",ma thu thng 9  11 nirng du lch khm ph thin nhin,"['YokDon', 'BachMa', 'Bidoup', 'ChuMomRay', 'PuHuong']"
"['Mùa thu (tháng 9 - 11)', 'Núi/Rừng', 'Du lịch văn hóa, lịch sử']","['ma thu thng 9  11', 'nirng', 'du lch vn ha lch s']",ma thu thng 9  11 nirng du lch vn ha lch s,"['LangSon', 'ThaiNguyen', 'HoaBinh', 'SonLa', 'QuangNgai']"
"['Mùa thu (tháng 9 - 11)', 'Núi/Rừng', 'Du lịch nghỉ dưỡng, thư giãn']","['ma thu thng 9  11', 'nirng', 'du lch ngh dng th gin']",ma thu thng 9  11 nirng du lch ngh dng th gin,"['TamDao', 'TamNong', 'YenTu', 'Y Ty']"
"['Mùa thu (tháng 9 - 11)', 'Biển', 'Du lịch khám phá thiên nhiên']","['ma thu thng 9  11', 'bin', 'du lch khm ph thin nhin']",ma thu thng 9  11 bin du lch khm ph thin nhin,"['HaTien', 'HonSon', 'UMinhThuong']"
"['Mùa thu (tháng 9 - 11)', 'Biển', 'Du lịch văn hóa, lịch sử']","['ma thu thng 9  11', 'bin', 'du lch vn ha lch s']",ma thu thng 9  11 bin du lch vn ha lch s,"['BienNgoc', 'NhatLeCoKinh', 'DaNangXuanKhaoCo', 'QuyNhonBienSu', 'PhuQuoc']"
"['Mùa thu (tháng 9 - 11)', 'Biển', 'Du lịch nghỉ dưỡng, thư giãn']","['ma thu thng 9  11', 'bin', 'du lch ngh dng th gin']",ma thu thng 9  11 bin du lch ngh dng th gin,"['ConDao', 'NhaTrang', 'LongHai']"
"['Mùa thu (tháng 9 - 11)', 'Thành phố', 'Du lịch khám phá thiên nhiên']","['ma thu thng 9  11', 'thnh ph', 'du lch khm ph thin nhin']",ma thu thng 9  11 thnh ph du lch khm ph thin nhin,"['LongXuyen', 'CanTho', 'RachGia', 'VinhLong', 'MyTho']"
"['Mùa thu (tháng 9 - 11)', 'Thành phố', 'Du lịch văn hóa, lịch sử']","['ma thu thng 9  11', 'thnh ph', 'du lch vn ha lch s']",ma thu thng 9  11 thnh ph du lch vn ha lch s,"['HaNoi', 'Hue', 'HoiAn', 'DaLat', 'TPHCM']"
"['Mùa thu (tháng 9 - 11)', 'Thành phố', 'Du lịch nghỉ dưỡng, thư giãn']","['ma thu thng 9  11', 'thnh ph', 'du lch ngh dng th gin']",ma thu thng 9  11 thnh ph du lch ngh dng th gin,"['DaNang', 'QuyNhon']"
"['Mùa thu (tháng 9 - 11)', 'Cao nguyên', 'Du lịch khám phá thiên nhiên']","['ma thu thng 9  11', 'cao nguyn', 'du lch khm ph thin nhin']",ma thu thng 9  11 cao nguyn du lch khm ph thin nhin,"['KonPlong', 'BaoLoc', 'LacDuong']"
"['Mùa thu (tháng 9 - 11)', 'Cao nguyên', 'Du lịch văn hóa, lịch sử']","['ma thu thng 9  11', 'cao nguyn', 'du lch vn ha lch s']",ma thu thng 9  11 cao nguyn du lch vn ha lch s,"['MocChau', 'BacHa']"
"['Mùa thu (tháng 9 - 11)', 'Cao nguyên', 'Du lịch nghỉ dưỡng, thư giãn']","['ma thu thng 9  11', 'cao nguyn', 'du lch ngh dng th gin']",ma thu thng 9  11 cao nguyn du lch ngh dng th gin,"['Pleiku', 'BuonMeThuot', 'MangDen']"
"['Mùa đông (tháng 12 - 2)', 'Núi/Rừng', 'Du lịch khám phá thiên nhiên']","['ma ng thng 12  2', 'nirng', 'du lch khm ph thin nhin']",ma ng thng 12  2 nirng du lch khm ph thin nhin,"['YokDon', 'BachMa', 'Bidoup', 'ChuMomRay', 'PuHuong']"
"['Mùa đông (tháng 12 - 2)', 'Núi/Rừng', 'Du lịch văn hóa, lịch sử']","['ma ng thng 12  2', 'nirng', 'du lch vn ha lch s']",ma ng thng 12  2 nirng du lch vn ha lch s,"['LangSon', 'ThaiNguyen', 'HoaBinh', 'SonLa', 'QuangNgai']"
"['Mùa đông (tháng 12 - 2)', 'Núi/Rừng', 'Du lịch nghỉ dưỡng, thư giãn']","['ma ng thng 12  2', 'nirng', 'du lch ngh dng th gin']",ma ng thng 12  2 nirng du lch ngh dng th gin,"['TamDao', 'TamNong', 'YenTu', 'Y Ty']"
"['Mùa đông (tháng 12 - 2)', 'Biển', 'Du lịch khám phá thiên nhiên']","['ma ng thng 12  2', 'bin', 'du lch khm ph thin nhin']",ma ng thng 12  2 bin du lch khm ph thin nhin,"['HaTien', 'HonSon', 'UMinhThuong']"
"['Mùa đông (tháng 12 - 2)', 'Biển', 'Du lịch văn hóa, lịch sử']","['ma ng thng 12  2', 'bin', 'du lch vn ha lch s']",ma ng thng 12  2 bin du lch vn ha lch s,"['BienNgoc', 'NhatLeCoKinh', 'DaNangXuanKhaoCo', 'QuyNhonBienSu', 'PhuQuoc']"
"['Mùa đông (tháng 12 - 2)', 'Biển', 'Du lịch nghỉ dưỡng, thư giãn']","['ma ng thng 12  2', 'bin', 'du lch ngh dng th gin']",ma ng thng 12  2 bin du lch ngh dng th gin,"['ConDao', 'NhaTrang', 'LongHai']"
"['Mùa đông (tháng 12 - 2)', 'Thành phố', 'Du lịch khám phá thiên nhiên']","['ma ng thng 12  2', 'thnh ph', 'du lch khm ph thin nhin']",ma ng thng 12  2 thnh ph du lch khm ph thin nhin,"['LongXuyen', 'CanTho', 'RachGia', 'VinhLong', 'MyTho']"
"['Mùa đông (tháng 12 - 2)', 'Thành phố', 'Du lịch văn hóa, lịch sử']","['ma ng thng 12  2', 'thnh ph', 'du lch vn ha lch s']",ma ng thng 12  2 thnh ph du lch vn ha lch s,"['HaNoi', 'Hue', 'HoiAn', 'DaLat', 'TPHCM']"
"['Mùa đông (tháng 12 - 2)', 'Thành phố', 'Du lịch nghỉ dưỡng, thư giãn']","['ma ng thng 12  2', 'thnh ph', 'du lch ngh dng th gin']",ma ng thng 12  2 thnh ph du lch ngh dng th gin,"['DaNang', 'QuyNhon']"
"['Mùa đông (tháng 12 - 2)', 'Cao nguyên', 'Du lịch khám phá thiên nhiên']","['ma ng thng 12  2', 'cao nguyn', 'du lch khm ph thin nhin']",ma ng thng 12  2 cao nguyn du lch khm ph thin nhin,"['KonPlong', 'BaoLoc', 'LacDuong']"
"['Mùa đông (tháng 12 - 2)', 'Cao nguyên', 'Du lịch văn hóa, lịch sử']","['ma ng thng 12  2', 'cao nguyn', 'du lch vn ha lch s']",ma ng thng 12  2 cao nguyn du lch vn ha lch s,"['MocChau', 'BacHa']"
"['Mùa đông (tháng 12 - 2)', 'Cao nguyên', 'Du lịch nghỉ dưỡng, thư giãn']","['ma ng thng 12  2', 'cao nguyn', 'du lch ngh dng th gin']",ma ng thng 12  2 cao nguyn du lch ngh dng th gin,"['Pleiku', 'BuonMeThuot', 'MangDen']"
